track_id,class_id,first_frame,last_frame,observations,mean_speed,max_speed,mean_acceleration,max_acceleration,total_displacement,mean_direction,min_x,max_x,min_y,max_y,track_duration_seconds,path_length,motion_consistency
1,2,1,97,96,0.18954036867130541,0.8438101685213326,0.1914582829383239,5.261784984631367,0.6080180455077406,126.79221670549212,0.102862,0.45566,0.421911,0.902711,3.2,0.6080180455077406,30.0
2,2,6,9,4,0.49772580169618774,0.8425286146475982,2.3854233856545477,6.558785572123119,0.06636344022615837,168.49854523560145,0.823632,0.86962,0.896539,0.943864,0.1,0.06636344022615837,40.0
3,2,11,99,88,0.15912167138822167,0.7601717753245004,-0.2075462116486851,4.606331265463929,0.4672338055066514,239.08935911234366,0.575619,0.795214,0.439469,0.843591,2.933333333333333,0.4672338055066514,30.000000000000004
4,2,14,22,6,0.045237971557604006,0.07742494946721003,0.16447872732036004,1.6518330422503706,0.01348197842884755,85.36181838734718,0.442238,0.446986,0.431255,0.442779,0.26666666666666666,0.01348197842884755,22.5
20,2,40,45,6,0.044091723904306795,0.07377600219583613,-0.20426008508926605,0.0,0.008818344780861359,94.01415754361425,0.427939,0.43129,0.438367,0.446154,0.16666666666666666,0.008818344780861359,36.0
21,2,42,131,89,0.1980061526931838,0.8453920208991818,0.08518795489159862,3.3996788178405946,0.5899048632326594,127.88222356278989,0.0777312,0.433343,0.44355,0.901536,2.966666666666667,0.5899048632326594,30.0
24,2,44,65,10,0.12250811828516865,0.2233416405420197,0.3780453370363784,3.2327591790781933,0.08299381365337188,117.99681324384991,0.371141,0.418552,0.487532,0.55172,0.7,0.08299381365337188,14.285714285714286
27,2,46,176,128,0.14515453498200215,0.7868033175451151,0.09090630124463164,3.109900253144439,0.6225456624973691,129.56361734448254,0.0831228,0.457094,0.411727,0.89349,4.333333333333333,0.6225456624973691,29.53846153846154
39,2,74,77,4,0.5201483581444168,0.7684675061445321,1.5463123830655146,5.626226488846254,0.06935311441925558,180.04828013268883,0.686235,0.720615,0.886069,0.946235,0.1,0.06935311441925558,40.0
43,2,79,144,65,0.18516842757998636,0.7342840692810925,-0.32115680174911354,4.617635612157746,0.4042810404007959,251.07771102905514,0.547926,0.665941,0.446316,0.826026,2.1666666666666665,0.4042810404007959,30.000000000000004
44,7,80,80,1,0.0,0.0,0.0,0.0,0.0,0.0,0.299525,0.299525,0.650718,0.650718,0.0,0.0,0.0
46,2,82,83,2,0.019731774502056224,0.03946354900411245,0.0,0.0,0.0013154516334704148,70.66329357229785,0.386221,0.387248,0.508207,0.509029,0.03333333333333333,0.0013154516334704148,60.0
48,2,93,109,17,0.023270848041944864,0.04105968825989804,0.01879715858596929,0.6441340644083221,0.013186813890435424,113.65633446627587,0.478383,0.483956,0.410329,0.421753,0.5333333333333333,0.013186813890435424,31.875
51,2,96,98,3,0.031859557458667365,0.06455157937649504,-0.33524486376987994,0.0,0.003185955745866736,72.89040654014072,0.427818,0.428496,0.449519,0.45245,0.06666666666666667,0.003185955745866736,45.0
55,2,111,111,1,0.0,0.0,0.0,0.0,0.0,0.0,0.573063,0.573063,0.522371,0.522371,0.0,0.0,0.0
62,2,121,203,83,0.19195984427203863,0.9178441696170425,0.32179104329987507,12.894384335950312,0.5310889024859735,116.3752993780033,0.244126,0.471349,0.434428,0.909521,2.7333333333333334,0.5310889024859735,30.365853658536583
64,2,123,214,87,0.204631911396481,1.036264775479702,-0.17301992357823162,5.75631499590283,0.6016222163953221,238.03848073108674,0.575011,0.879514,0.431218,0.942507,3.033333333333333,0.6016222163953221,28.681318681318682
67,2,126,129,3,0.052187046203813196,0.09029286848915542,0.24024598366871264,0.7207379510061379,0.007427646957790792,79.32362234154012,0.386709,0.390214,0.504839,0.511368,0.1,0.007427646957790792,30.0
84,2,174,288,114,0.11874679865944647,0.5751800652404424,0.13790740305904284,3.933356971492412,0.4704105037472447,130.01003301386288,0.17014,0.451233,0.417144,0.786696,3.8,0.4704105037472447,30.0
97,2,199,203,3,0.017183837751706604,0.03319438657363698,-0.04945753297384717,0.0,0.002942192220602848,97.76344671042212,0.485851,0.488341,0.397151,0.398655,0.13333333333333333,0.002942192220602848,22.5
101,2,205,205,1,0.0,0.0,0.0,0.0,0.0,0.0,0.222619,0.222619,0.950903,0.950903,0.0,0.0,0.0
105,2,208,229,21,0.020622285591551232,0.046968054036759556,0.012181023197474336,1.0077707898678436,0.015460819890481153,161.84253759783064,0.454127,0.45684,0.417618,0.423911,0.7,0.015460819890481153,30.000000000000004
108,2,210,212,3,0.016929439156017786,0.029189630007932902,0.07590942547812445,0.22772827643437335,0.0016929439156017786,185.5195895454691,0.430166,0.430898,0.441879,0.443129,0.06666666666666667,0.0016929439156017786,45.0
109,2,210,318,104,0.16363652223925162,0.8517161030531215,0.16494861554338452,10.123882619512491,0.5760106594125098,121.03867764137998,0.237823,0.483171,0.409657,0.915261,3.6,0.5760106594125098,28.88888888888889
120,2,225,235,11,0.01732472284675849,0.03794639508569974,-0.018943183719845273,0.949021501142908,0.00635239837714478,112.61930265725496,0.446207,0.448362,0.427364,0.431241,0.3333333333333333,0.00635239837714478,33.0
123,2,231,240,10,0.040979990634392026,0.07471385413696663,0.006070392376895739,1.1803321546298793,0.013659996878130675,125.84860396621207,0.43652,0.442041,0.431259,0.438881,0.3,0.013659996878130675,33.333333333333336
125,2,234,247,8,0.06951338879912866,0.14298536603442993,0.18287857213397463,3.950027109379406,0.03737865307859371,86.37081303590261,0.389359,0.404903,0.481794,0.511258,0.43333333333333335,0.03737865307859371,18.46153846153846
129,2,243,254,12,0.0469876666229344,0.08278156860074615,-0.038051452636944726,1.4044513471971605,0.01879506664917376,158.6721324161921,0.428843,0.431575,0.443172,0.45362,0.36666666666666664,0.01879506664917376,32.72727272727273
131,2,245,247,3,0.28197995894617245,0.4772844755489104,1.086290742593034,3.258872227779102,0.028197995894617245,163.41054355110555,0.686175,0.698251,0.940007,0.965404,0.06666666666666667,0.028197995894617245,45.0
136,2,248,252,5,0.02633211841979332,0.06130932147724233,0.005969480908644487,1.1229853681988908,0.004388686403298887,93.15440265486254,0.424866,0.427393,0.45428,0.455219,0.13333333333333333,0.004388686403298887,37.5
137,2,249,260,12,0.5234656146513369,1.1325179919100619,-0.6060918807181556,15.191907956715475,0.20938624586053475,232.33540099563973,0.608227,0.666729,0.703715,0.904351,0.36666666666666664,0.20938624586053475,32.72727272727273
144,2,252,267,13,0.3371110644556386,0.5818120250562042,-0.6012388282579715,3.5543852905862847,0.16566062521963248,220.18074431020372,0.677803,0.761409,0.634393,0.776619,0.5,0.16566062521963248,26.0
151,2,255,335,80,0.22794519674484515,0.8101597997926073,0.22751028423008002,7.426041045823485,0.6124950007603989,126.69395729918713,0.0637183,0.42042,0.46176,0.943037,2.6666666666666665,0.6124950007603989,30.0
157,2,257,259,3,0.2937721988247024,0.48646391191947685,0.9161122736484656,2.7483368209453967,0.02937721988247024,160.18005446128657,0.699891,0.714595,0.93799,0.963359,0.06666666666666667,0.02937721988247024,45.0
161,2,258,295,34,0.1875188465726304,0.3987422833109118,-0.2947423949051533,2.497820552234371,0.2318080465714566,247.3952032354935,0.555475,0.617733,0.509301,0.731945,1.2333333333333334,0.2318080465714566,27.567567567567565
166,2,260,271,6,0.04740682739887114,0.1213548948332944,0.17726007042621686,3.3133058673852736,0.019111102136379208,145.82661424430069,0.404474,0.418722,0.466254,0.477653,0.36666666666666664,0.019111102136379208,16.363636363636363
167,2,261,327,66,0.2078080795691171,0.9632509359974661,-0.26900312980733254,9.495710807049733,0.46039184482416895,251.57607740214223,0.553318,0.677826,0.462403,0.903979,2.2,0.46039184482416895,29.999999999999996
186,2,274,276,3,0.005796784592157105,0.01025956139413402,0.03128769011796725,0.09386307035390175,0.0005796784592157105,128.52885373701122,0.451862,0.452232,0.418736,0.419031,0.06666666666666667,0.0005796784592157105,45.0
192,2,280,308,29,0.02638775230688276,0.09393885298426737,0.049941398106214466,1.4381637322655667,0.02550816056332,159.84556804377308,0.475816,0.484089,0.408496,0.422353,0.9333333333333333,0.02550816056332,31.07142857142857
194,2,281,295,15,0.5345145216756356,0.8255695879209712,-0.06572438337561382,4.773274618928084,0.2672572608378178,120.17638772412901,0.0741852,0.239742,0.692312,0.899212,0.4666666666666667,0.2672572608378178,32.14285714285714
197,2,283,364,81,0.22120337990029715,0.772464768128616,0.24662533725854824,4.011411209564524,0.6011369422130967,125.00272944013525,0.0689586,0.414969,0.462193,0.936598,2.7,0.6011369422130967,29.999999999999996
200,7,284,342,46,0.2831649396145473,0.8463799981686687,-0.24655090853172434,13.91553096619831,0.5092157055315852,244.7514180166514,0.553534,0.729382,0.462709,0.925786,1.9333333333333333,0.5092157055315852,23.79310344827586
203,2,285,288,2,0.004606899716729061,0.009213799433458122,0.0,0.0,0.000921379943345812,78.33129998714918,0.443159,0.444005,0.426091,0.426456,0.1,0.000921379943345812,20.0
206,2,291,291,1,0.0,0.0,0.0,0.0,0.0,0.0,0.367276,0.367276,0.529183,0.529183,0.0,0.0,0.0
214,2,298,399,102,0.1886475102769893,0.7679180217965961,0.1708746557895095,2.6877107034251155,0.6414015349417637,126.35005322614819,0.0610693,0.43705,0.43975,0.944245,3.3666666666666667,0.6414015349417637,30.297029702970296
219,2,300,315,12,0.07076573163580596,0.12896190135074903,-0.02392653343792107,2.834359597316346,0.04176496416086449,124.95224621388179,0.372862,0.399366,0.491154,0.520674,0.5,0.04176496416086449,24.0
223,2,303,305,3,0.4255949593296886,0.8275003938367645,3.7821590968446324,11.346477290533898,0.04255949593296886,165.09602958832528,0.686002,0.701479,0.912511,0.952085,0.06666666666666667,0.04255949593296886,45.0
229,2,305,310,4,0.046279944660829735,0.06655531609120229,0.06588830491752729,0.30676118697974125,0.010319627245459904,174.18809092749134,0.605902,0.612094,0.482919,0.491147,0.16666666666666666,0.010319627245459904,24.0
232,2,307,349,42,0.27159995975706075,0.7918658528437762,-0.5600526765705715,3.4884654934488193,0.3854463268814699,248.939405134412,0.565029,0.668266,0.513377,0.882869,1.4,0.3854463268814699,30.000000000000004
238,2,309,319,10,0.035233400404044234,0.08888307431676802,-0.1868551386589768,0.48079075226218954,0.01316527968487637,124.72464849055515,0.467059,0.472932,0.43468,0.445363,0.3333333333333333,0.01316527968487637,30.0
252,2,325,400,75,0.20396723696702132,0.790423623255279,0.17557721855422567,15.013566787118258,0.5129880621242442,115.4793154941012,0.256881,0.463126,0.455819,0.912107,2.5,0.5129880621242442,30.0
257,2,335,346,9,0.061616234575632894,0.0992396236389487,0.11766853621160685,0.7369664947442132,0.026278348740049348,94.5527417447726,0.45202,0.461787,0.469968,0.492462,0.36666666666666664,0.026278348740049348,24.545454545454547
262,2,338,339,2,0.012834294877397838,0.025668589754795676,0.0,0.0,0.0008556196584931892,63.6291461294978,0.396566,0.397084,0.489236,0.489917,0.03333333333333333,0.0008556196584931892,60.0
283,2,348,420,61,0.22986498442470618,0.7512944820774344,0.14110296946673198,7.34575188833564,0.4988417566774278,116.86054014107786,0.240048,0.45805,0.44215,0.877842,2.4,0.4988417566774278,25.416666666666668
284,2,351,358,3,0.02414887108772674,0.03782292195217059,0.005332051068601591,0.015996153205804775,0.00871870743413444,171.85699020393963,0.54956,0.551756,0.443376,0.451807,0.23333333333333334,0.00871870743413444,12.857142857142858
287,2,354,358,3,0.07977618523708996,0.15108990601625175,0.20950418773744542,0.6285125632123363,0.018050278924792447,78.7750207349453,0.364449,0.372207,0.532744,0.549016,0.13333333333333333,0.018050278924792447,22.5
288,2,357,360,4,0.33205822100426374,0.5249219230514178,1.578615844460906,5.232940201571293,0.04427442946723517,188.48830429344352,0.678366,0.696531,0.920902,0.95974,0.1,0.04427442946723517,40.0
291,2,358,408,45,0.24979888746364678,0.6096418095898627,-0.1653290833356143,6.707604116777695,0.4181684237129468,227.58974200642155,0.679435,0.932169,0.570068,0.892903,1.6666666666666667,0.4181684237129468,27.0
293,2,360,397,31,0.052963934170964753,0.11073565685902732,0.032375749210300606,1.6731069961774743,0.06417394654530248,247.86305049708818,0.548532,0.561473,0.427724,0.487665,1.2333333333333334,0.06417394654530248,25.135135135135133
294,2,362,439,78,0.16997216883299213,0.7320660523477358,-0.25684505033122823,2.4633261995106936,0.4419276389657795,254.247004951997,0.555398,0.662115,0.449196,0.873003,2.566666666666667,0.4419276389657795,30.389610389610386
303,7,382,382,1,0.0,0.0,0.0,0.0,0.0,0.0,0.421394,0.421394,0.527246,0.527246,0.0,0.0,0.0
312,2,388,446,59,0.27313166448370213,0.7398367606438581,0.30189789705991904,8.864988447748658,0.5371589401512809,112.46864076990519,0.216532,0.437426,0.478761,0.963537,1.9333333333333333,0.5371589401512809,30.517241379310345
313,2,388,487,95,0.1905299249291932,0.7173369281585887,0.20947611514932812,12.626141364912888,0.6102357487395907,127.07188660808924,0.0710484,0.43233,0.4474,0.921198,3.3,0.6102357487395907,28.78787878787879
319,2,391,416,9,0.02221112386055781,0.05253007709874418,0.10660768162655608,1.001187477152393,0.019210957947948942,209.8901724699013,0.546223,0.54901,0.408524,0.423935,0.8333333333333334,0.019210957947948942,10.799999999999999
342,2,402,423,6,0.07206190685709535,0.1478261316547243,-0.2859224412674699,1.333789576863838,0.05447889614588487,188.48424560750345,0.563149,0.577601,0.47622,0.527124,0.7,0.05447889614588487,8.571428571428571
347,2,406,506,94,0.16914547385897413,0.7520277847260712,0.17458475676193347,6.92689406741115,0.5616306621626566,115.14474426810767,0.268599,0.480074,0.413702,0.924891,3.3333333333333335,0.5616306621626566,28.2
352,7,410,418,7,0.47047461072424657,0.6861841214280601,-0.84156897447963,1.0681034833870584,0.15140678345633218,107.33516113834636,0.260773,0.332954,0.737467,0.866599,0.26666666666666666,0.15140678345633218,26.25
360,5,421,445,21,0.07192007270810497,0.14661084407369065,-0.09766176167697134,1.9527318736298416,0.058895175455241894,217.70882354823846,0.613033,0.647733,0.479592,0.525428,0.8,0.058895175455241894,26.25
