frame,track_id,class_id,center_x,center_y,width,height,dt_frames,dt_seconds,dx,dy,vx,vy,speed_normalized,acceleration,displacement,direction_deg,motion_state
1,1,2,0.455517,0.421911,0.0207788,0.0366854,,,,,0.0,0.0,0.0,0.0,0.0,0.0,stationary
2,1,2,0.45566,0.422229,0.0208095,0.0367108,1.0,0.03333333333333333,0.00014300000000000423,0.00031800000000004047,0.004290000000000127,0.009540000000001214,0.010460195982868785,0.0,0.0003486731994289595,65.78723984700326,moving
3,1,2,0.455173,0.422854,0.0206058,0.0363247,1.0,0.03333333333333333,-0.0004870000000000152,0.0006249999999999867,-0.014610000000000456,0.0187499999999996,0.023770035759333605,0.3992951932939446,0.0007923345253111201,127.92572154309539,moving
4,1,2,0.454171,0.423622,0.021569,0.0379643,1.0,0.03333333333333333,-0.0010020000000000029,0.0007679999999999909,-0.030060000000000087,0.023039999999999727,0.037874070285618795,0.4231210357885557,0.0012624690095206265,142.53102383054386,fast
5,1,2,0.452464,0.424525,0.022271,0.0390833,1.0,0.03333333333333333,-0.001707000000000014,0.0009029999999999871,-0.05121000000000042,0.027089999999999614,0.057933860565303454,0.6017937083905398,0.001931128685510115,152.12123834638123,fast
6,1,2,0.451883,0.424871,0.0227045,0.0396392,1.0,0.03333333333333333,-0.0005809999999999982,0.00034600000000001296,-0.017429999999999946,0.010380000000000389,0.02028667789461858,-1.129415480120546,0.000676222596487286,149.22514593681797,moving
7,1,2,0.45161,0.425311,0.0232607,0.0405178,1.0,0.03333333333333333,-0.0002729999999999677,0.00043999999999999595,-0.008189999999999031,0.013199999999999878,0.015534352255565114,-0.142569769171604,0.0005178117418521705,121.81772114174396,moving
8,1,2,0.450483,0.425627,0.0232846,0.0406655,1.0,0.03333333333333333,-0.0011269999999999891,0.00031599999999998296,-0.033809999999999674,0.009479999999999489,0.03511390750115925,0.5873866573678242,0.0011704635833719751,164.33701264875458,fast
9,1,2,0.450021,0.426283,0.0238056,0.0417669,1.0,0.03333333333333333,-0.00046200000000001795,0.0006560000000000454,-0.013860000000000539,0.019680000000001363,0.02407077065654668,-0.33129410533837717,0.0008023590218848893,125.1558222667266,moving
10,1,2,0.449312,0.426515,0.0248587,0.0439921,1.0,0.03333333333333333,-0.0007090000000000152,0.00023199999999995446,-0.021270000000000455,0.006959999999998634,0.02237977881928238,-0.05072975511792897,0.0007459926273094128,161.88079411635022,moving
11,1,2,0.448973,0.427355,0.0260952,0.0466284,1.0,0.03333333333333333,-0.0003389999999999782,0.0008400000000000074,-0.010169999999999346,0.025200000000000222,0.027174784267772905,0.1438501634547157,0.0009058261422590968,111.97759521489081,moving
12,1,2,0.447947,0.431084,0.0245911,0.0438319,1.0,0.03333333333333333,-0.0010260000000000269,0.003729000000000038,-0.030780000000000807,0.11187000000000114,0.11602717483417539,2.6655717169920745,0.003867572494472513,105.38375041591632,fast
13,1,2,0.446856,0.433821,0.023169,0.0410505,1.0,0.03333333333333333,-0.0010910000000000086,0.0027369999999999894,-0.03273000000000026,0.08210999999999968,0.08839290129869007,-0.8290282060645597,0.002946430043289669,111.73280046823731,fast
14,1,2,0.44519,0.437488,0.0210707,0.036598,1.0,0.03333333333333333,-0.0016660000000000008,0.003666999999999976,-0.049980000000000024,0.11000999999999928,0.12083128940799996,0.9731516432792968,0.004027709646933332,114.43335905826945,fast
15,1,2,0.444383,0.439047,0.0210166,0.0358846,1.0,0.03333333333333333,-0.0008070000000000022,0.0015590000000000326,-0.024210000000000065,0.04677000000000098,0.05266457063339731,-2.0450015632380794,0.0017554856877799105,117.36786942926568,fast
16,1,2,0.443179,0.439092,0.0218744,0.0372498,1.0,0.03333333333333333,-0.0012039999999999829,4.499999999996174e-05,-0.036119999999999486,0.0013499999999988521,0.036145219600936994,-0.49558053097380944,0.0012048406533645664,177.8595427594655,fast
