epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.891,1.67894,0.7413,1.73566,0.9586,0.92629,0.98391,0.60343,1.31429,0.645,1.60902,0.000648649,0.000648649,0.000648649
2,462.984,1.44088,0.68159,1.60961,0.96744,0.94667,0.98524,0.57621,1.32606,0.63192,1.7183,0.00128927,0.00128927,0.00128927
